team_tournament_code,player_tournament_code
2021-profi_Atanasijević,2021-profi_Bára
2021-profi_Atanasijević,2021-profi_Bára J.
2021-profi_Atanasijević,2021-profi_Kudla
2021-profi_Atanasijević,2021-profi_Luke S.
2021-profi_Atanasijević,2021-profi_Zelí
2021-profi_Atanasijević,2021-profi_Heřmí
2021-profi_Bruno,2021-profi_Vojta
2021-profi_Bruno,2021-profi_Hanka V.
2021-profi_Bruno,2021-profi_Terka B.
2021-profi_Bruno,2021-profi_Ziky
2021-profi_Bruno,2021-profi_Michal H.
2021-profi_Bruno,2021-profi_Mára Z.
2021-profi_Džiannelli,2021-profi_Monika B.
2021-profi_Džiannelli,2021-profi_Zuzka Č.
2021-profi_Džiannelli,2021-profi_Ondra H.
2021-profi_Džiannelli,2021-profi_Mazy
2021-profi_Džiannelli,2021-profi_Valda
2021-profi_Džiannelli,2021-profi_Tito
2021-profi_Christenson,2021-profi_Anča
2021-profi_Christenson,2021-profi_Martina D.
2021-profi_Christenson,2021-profi_Ondra N.
2021-profi_Christenson,2021-profi_Kolouch
2021-profi_Christenson,2021-profi_Radim P.
2021-profi_Christenson,2021-profi_Pajmič
2021-profi_Ishikawa,2021-profi_Bára
2021-profi_Ishikawa,2021-profi_Monika B.
2021-profi_Ishikawa,2021-profi_Kolouch
2021-profi_Ishikawa,2021-profi_Tito
2021-profi_Ishikawa,2021-profi_Radim P.
2021-profi_Ishikawa,2021-profi_Heřmí
2021-profi_Juantorena,2021-profi_Terka B.
2021-profi_Juantorena,2021-profi_Bára J.
2021-profi_Juantorena,2021-profi_Kudla
2021-profi_Juantorena,2021-profi_Michal H.
2021-profi_Juantorena,2021-profi_Ondra H.
2021-profi_Juantorena,2021-profi_Valda
2021-profi_Kurek,2021-profi_Anča
2021-profi_Kurek,2021-profi_Hanka V.
2021-profi_Kurek,2021-profi_Ziky
2021-profi_Kurek,2021-profi_Ondra N.
2021-profi_Kurek,2021-profi_Luke S.
2021-profi_Kurek,2021-profi_Zelí
2021-profi_León,2021-profi_Vojta
2021-profi_León,2021-profi_Martina D.
2021-profi_León,2021-profi_Zuzka Č.
2021-profi_León,2021-profi_Mazy
2021-profi_León,2021-profi_Mára Z.
2021-profi_León,2021-profi_Pajmič
