player_tournament_id,player_tournament_code,player_code,tournament_category_code,player_result
6_1,2022-profi_Bára,Bára,2022-profi_epsilon,
6_2,2022-profi_Vojta,Vojta,2022-profi_delta,
6_3,2022-profi_Anča,Anča,2022-profi_epsilon,
6_4,2022-profi_Hanka V.,Hanka V.,2022-profi_epsilon,
6_5,2022-profi_Kali,Kali,2022-profi_zeta,
6_6,2022-profi_Naty V.,Naty V.,2022-profi_zeta,
6_7,2022-profi_Radka M.,Radka M.,2022-profi_zeta,
6_8,2022-profi_Martina D.,Martina D.,2022-profi_epsilon,
6_9,2022-profi_Zuzka Č.,Zuzka Č.,2022-profi_zeta,
6_10,2022-profi_Ziky,Ziky,2022-profi_beta,
6_11,2022-profi_Poky,Poky,2022-profi_beta,
6_12,2022-profi_Kudla,Kudla,2022-profi_alfa,
6_13,2022-profi_Michal H.,Michal H.,2022-profi_gamma,
6_14,2022-profi_Alex L.,Alex L.,2022-profi_gamma,
6_15,2022-profi_Mazy,Mazy,2022-profi_gamma,
6_16,2022-profi_Juan,Juan,2022-profi_delta,
6_17,2022-profi_Tomy,Tomy,2022-profi_delta,
6_18,2022-profi_Valda,Valda,2022-profi_alfa,
6_19,2022-profi_Michal N.,Michal N.,2022-profi_gamma,
6_20,2022-profi_Radim P.,Radim P.,2022-profi_delta,
6_21,2022-profi_Mára Z.,Mára Z.,2022-profi_alfa,
6_22,2022-profi_Zelí,Zelí,2022-profi_beta,
6_23,2022-profi_Pajmič,Pajmič,2022-profi_alfa,
6_24,2022-profi_Žum,Žum,2022-profi_beta,
6_25,2022-profi_Zuzka Šátek,Zuzka Šátek,2022-profi_zeta,
